iter	MAE
0	0.6702336021
1	0.6137365825
2	0.5716675473
3	0.5325752003
4	0.499329751
5	0.4705053782
6	0.4455741072
7	0.4232157262
8	0.4076825517
9	0.3947472878
10	0.3824360089
11	0.3743636052
12	0.3673594354
13	0.3593727238
14	0.3527773539
15	0.3469050922
16	0.3436449706
17	0.3388075162
18	0.3346431305
19	0.3321463106
20	0.3286953532
21	0.3251897865
22	0.3229277176
23	0.3201602593
24	0.3178624598
25	0.3158205707
26	0.3141999901
27	0.3130204193
28	0.3116736722
29	0.3100625482
30	0.307607239
31	0.3065867414
32	0.3047081249
33	0.3040405298
34	0.3019079765
35	0.3010270676
36	0.2999200673
37	0.2982612741
38	0.2976176216
39	0.2968687036
40	0.2960909147
41	0.2932276975
42	0.2919719023
43	0.2914974046
44	0.290213087
45	0.2877386776
46	0.2862867923
47	0.2850780614
48	0.2842472902
49	0.2832688441
50	0.2823388548
51	0.2808171305
52	0.2801801027
53	0.2793396862
54	0.2785254569
55	0.278172392
56	0.2772436429
57	0.2761752056
58	0.2756725067
59	0.2749855879
60	0.2741772453
61	0.2734942495
62	0.2725703399
63	0.2719924218
64	0.2713016859
65	0.2705756474
66	0.2699341119
67	0.2696855637
68	0.2690333394
69	0.2682171452
70	0.2679001535
71	0.2671469683
72	0.2662744198
73	0.2658125882
74	0.2647632332
75	0.2645061305
76	0.2638884718
77	0.2632119663
78	0.2628488986
79	0.2620631797
80	0.2612606774
81	0.2605575192
82	0.2602093015
83	0.2595232869
84	0.2589084465
85	0.2583478295
86	0.2578927002
87	0.2572778696
88	0.2570406991
89	0.2565968113
90	0.2562546215
91	0.2558494849
92	0.2551489302
93	0.2546596712
94	0.2542774332
95	0.2538300001
96	0.2533339165
97	0.2529573706
98	0.2527699158
99	0.2521927041
