iter	Passed	Remaining
0	1	187
1	3	174
2	5	175
3	7	171
4	8	169
5	11	181
6	14	193
7	16	195
8	19	193
9	22	204
10	25	203
11	27	202
12	30	202
13	32	197
14	34	194
15	36	193
16	39	192
17	41	189
18	44	189
19	46	187
20	49	185
21	51	183
22	54	183
23	57	181
24	59	178
25	61	175
26	64	174
27	67	172
28	69	171
29	72	168
30	74	165
31	76	163
32	79	162
33	82	159
34	84	157
35	87	155
36	89	152
37	91	149
38	93	146
39	96	144
40	98	141
41	100	139
42	103	137
43	105	134
44	108	132
45	110	130
46	113	127
47	115	124
48	117	122
49	120	120
50	122	117
51	125	115
52	127	113
53	130	110
54	132	108
55	134	106
56	137	103
57	140	101
58	142	99
59	145	96
60	147	94
61	149	91
62	153	90
63	156	87
64	158	85
65	160	82
66	163	80
67	165	77
68	167	75
69	169	72
70	172	70
71	175	68
72	178	65
73	180	63
74	183	61
75	185	58
76	188	56
77	190	53
78	193	51
79	195	48
80	197	46
81	200	43
82	202	41
83	205	39
84	207	36
85	209	34
86	212	31
87	214	29
88	216	26
89	219	24
90	221	21
91	224	19
92	226	17
93	228	14
94	231	12
95	234	9
96	236	7
97	238	4
98	241	2
99	244	0
