iter	Passed	Remaining
0	15	1567
1	27	1339
2	36	1192
3	49	1176
4	61	1162
5	73	1158
6	84	1127
7	97	1121
8	108	1092
9	120	1086
10	130	1054
11	141	1039
12	154	1035
13	168	1034
14	181	1030
15	193	1015
16	206	1007
17	217	990
18	229	976
19	238	954
20	250	942
21	260	924
22	274	919
23	285	904
24	295	886
25	307	876
26	318	860
27	330	850
28	343	840
29	354	827
30	366	816
31	377	802
32	388	789
33	400	776
34	410	763
35	423	752
36	437	745
37	449	733
38	461	722
39	474	711
40	485	698
41	497	686
42	509	675
43	520	662
44	533	651
45	544	639
46	555	626
47	566	613
48	576	599
49	587	587
50	599	575
51	611	564
52	623	552
53	634	540
54	646	528
55	656	515
56	669	505
57	682	494
58	692	481
59	704	469
60	717	458
61	727	445
62	740	434
63	754	424
64	766	412
65	778	401
66	793	390
67	806	379
68	822	369
69	833	357
70	846	345
71	861	335
72	874	323
73	885	311
74	898	299
75	909	287
76	925	276
77	937	264
78	948	252
79	962	240
80	974	228
81	986	216
82	1000	204
83	1013	192
84	1026	181
85	1040	169
86	1053	157
87	1068	145
88	1078	133
89	1092	121
90	1105	109
91	1115	97
92	1127	84
93	1140	72
94	1153	60
95	1166	48
96	1179	36
97	1192	24
98	1221	12
99	1252	0
